East,North,Elevation,bo,cpy,py,alte,mine,dom,ug
156782.4092,93144.40324,3308.95,0.11900000000000001,1.796,0.5670000000000001,BTK,CPY,3,3
156785.5076,93137.94551,3251.73,0.02,1.574,1.6480000000000001,BTK,CPY,3,3
156822.2847,92916.21247,3768.94,0.002,0.81,1.171,SCL,CPY,3,2
156822.5782,92912.57985,3713.22,0.006999999999999999,1.133,0.429,SCL,CPY,3,2
156823.0649,92909.00934,3653.92,0.19699999999999998,0.777,0.879,SCL,BN,3,2
156823.6482,92905.46989,3596.42,0.067,1.078,1.26,BTK,CPY,3,3
156824.328,92901.9615,3538.93,0.032,0.5710000000000001,0.428,POT,CPY,3,3
156824.9769,92897.20082,3481.45,0.474,0.52,0.804,BTK,BN,3,4
156825.5602,92893.66137,3423.96,0.368,0.52,0.23600000000000002,BTK,BN,3,4
156826.9818,92889.14916,3366.5,0.10800000000000001,1.195,0.21100000000000002,BTK,CPY,3,3
156828.4035,92884.63695,3309.08,0.031,1.3119999999999998,0.6609999999999999,BTK,CPY,3,3
156830.084,92878.96562999999,3249.9,0.13,0.7290000000000001,0.591,BTK,CPY,3,3
156831.7644,92873.29431,3192.57,0.001,1.476,1.215,BTK,CPY,3,3
156833.7037,92866.46387,3135.35,0.0,0.778,4.632,BTK,CPY,3,3
156960.2424,92969.26759,3768.31,0.015,1.048,2.508,SCL,CPY,3,2
156957.3917,92985.74361,3712.48,0.03,0.8390000000000001,1.148,SCL,CPY,3,2
156955.2518,92999.96352,3654.71,0.015,0.93,0.45399999999999996,SCL,CPY,3,2
156952.7565,93015.31149,3596.74,0.027000000000000003,0.971,1.69,SCL,CPY,3,2
156950.5856,93028.27912,3538.61,0.08800000000000001,1.057,0.738,BTK,CPY,3,3
156948.608,93041.30886,3480.37,0.214,0.8340000000000001,0.621,BTK,BN,3,4
156946.5337,93054.30755,3423.83,0.107,1.093,0.14800000000000002,BTK,CPY,3,3
156944.8148,93066.17817999999,3367.34,0.021,1.296,0.18,BTK,CPY,3,3
156943.1269,93079.30111,3309.16,0.013999999999999999,1.203,0.752,SCL,CPY,3,2
156940.987,93093.52102,3250.99,0.042,1.338,0.456,SCL,CPY,3,2
156939.0094,93106.55077,3194.58,0.0,1.288,1.7519999999999998,SCL,CPY,3,2
157474.6281,91942.02449,3337.11,0.0,1.159,5.073,FIL,CPY,3,2
157475.4974,91942.30402000001,3279.52,0.0,1.655,4.665,FIL,CPY,3,2
157476.9154,91941.51761,3221.95,0.0,1.472,6.973,FIL,CPY,3,2
157478.5265,91940.79331000001,3164.38,0.005,1.369,2.5,BTK,CPY,3,3
157480.1376,91940.06902000001,3106.82,0.0,0.981,3.3310000000000004,BTK,CPY,2,1
157481.7487,91939.34472000001,3049.26,0.0,0.929,2.9730000000000003,SCL,CPY,2,1
157483.101,91939.77954,2998.9,0.0,0.9,2.88,BTK,CPY,2,1
157411.3249,92893.17322000001,3712.21,0.0,0.7509999999999999,1.6030000000000002,SCL,CPY,3,2
157410.7726,92897.96496,3654.81,0.003,0.7170000000000001,1.564,BTK,CPY,3,3
157410.0581,92903.94686,3595.62,0.0,0.746,1.5659999999999998,BTK,CPY,3,3
157409.4401,92909.95982,3538.22,0.001,1.074,4.4110000000000005,SCL,CPY,3,2
157408.7219,92919.66752999999,3423.42,0.0,1.272,1.2570000000000001,SCL,CPY,3,2
157408.0073,92925.64942999999,3366.02,0.0,1.038,1.1320000000000001,SCL,CPY,3,2
157600.6084,91991.22838,3193.9,0.0,1.268,5.767,BTK,CPY,2,1
157600.3842,91989.91398,3136.31,0.0,1.001,1.464,POT,CPY,2,1
157600.1601,91988.59958,3078.73,0.0,1.131,1.2009999999999998,BTK,CPY,2,1
157600.0325,91987.31623,3021.14,0.0,2.327,2.645,BTK,CPY,2,1
157599.5496,91987.16094,2963.55,0.0,2.977,7.941,FIL,CPY,2,1
157599.6152,91985.93971,2905.95,0.0,2.693,2.6710000000000003,POT,CPY,2,1
157599.3254,91985.84654,2848.35,0.0,1.443,1.474,BTK,CPY,2,1
157599.2288,91985.81547999999,2790.76,0.0,1.5530000000000002,2.739,BTK,CPY,2,1
157599.2288,91985.81547999999,2740.36,0.0,0.611,5.422000000000001,BTK,CPY,2,1
157650.3435,92437.06683,3653.88,0.0,0.7509999999999999,3.9810000000000003,SCL,CPY,3,2
157647.2178,92438.54647999999,3596.42,0.0,0.8240000000000001,2.968,SCL,CPY,3,2
157643.9646,92438.74279,3538.98,0.005,0.887,2.8680000000000003,SCL,CPY,3,2
157640.2285,92438.7838,3481.57,0.0,1.092,1.829,SCL,CPY,2,1
157636.0403,92439.92181,3424.2,0.0,1.236,0.489,SCL,CPY,2,1
157631.628,92439.74541,3365.08,0.005,2.177,0.23399999999999999,BTK,CPY,2,1
157626.6981,92441.88724,3307.79,0.005,1.462,0.273,BTK,CPY,2,1
157621.9304,92442.83889,3250.52,0.0,1.578,0.38799999999999996,BTK,CPY,2,1
157616.7763,92443.66632,3193.31,0.001,1.7519999999999998,0.39899999999999997,BTK,CPY,2,1
157610.97699999998,92445.52862000001,3136.17,0.0,1.6569999999999998,0.778,BTK,CPY,2,1
157702.0949,92185.36335,3452.61,0.002,1.113,4.7989999999999995,SCL,CPY,2,1
157700.7773,92182.45502000001,3395.08,0.001,1.199,2.254,FIL,CPY,2,1
157699.6528,92179.60881,3336.65,0.008,1.482,1.651,FIL,CPY,2,1
157698.3662,92177.95277,3280.01,0.0,1.954,2.222,SCL,CPY,2,1
157697.3693,92176.3899,3222.45,0.0,2.4459999999999997,2.73,BTK,CPY,2,1
157697.0176,92173.79215,3164.88,0.0,3.611,3.57,BTK,CPY,2,1
157696.5037,92172.38457000001,3107.3,0.0,3.5069999999999997,1.492,BTK,CPY,2,1
157696.1829,92171.03911,3049.73,0.0,2.645,0.873,SCL,CPY,2,1
157696.12099999998,92168.53454,2992.16,0.02,1.1440000000000001,0.662,BTK,CPY,2,1
157696.2523,92166.09208999999,2934.6,0.001,1.744,1.962,BTK,CPY,2,1
157697.2876,92161.45564,2848.33,0.0,0.509,5.521,SCL,CPY,2,1
157586.3854,92753.17364,3596.25,0.0,0.746,3.7739999999999996,SCL,CPY,3,2
157586.934,92752.10771,3538.66,0.0,1.367,2.428,SCL,CPY,3,2
157588.4176,92750.10007,3423.48,0.0,1.251,1.266,BTK,CPY,2,1
157589.5148,92747.96819,3365.91,0.063,1.215,1.7719999999999998,BTK,CPY,2,1
157591.2881,92746.05373,3252.56,0.0,0.865,3.122,BTK,CPY,2,1
155452.8037,92499.47518,3481.92,0.14300000000000002,1.0979999999999999,2.425,BTK,CPY,3,3
155448.7233,92489.46685,3307.66,0.248,1.003,0.05,BTK,BN,3,4
158296.1911,92808.71981000001,3799.92,0.0,0.7170000000000001,6.41,FIL,OX,2,1
157891.5502,92015.20697999999,3307.88,0.0,0.688,6.912000000000001,FIL,CPY,2,1
156560.421,92800.95478,3734.83,0.11699999999999999,0.765,0.085,SCL,CPY,3,2
156560.3244,92800.92372,3709.63,0.165,0.5479999999999999,0.13,SCL,CPY,3,2
156560.1312,92800.8616,3684.43,0.18899999999999997,0.677,0.79,SCL,CPY,3,2
156559.938,92800.79949,3659.24,0.125,0.498,0.376,SCL,CPY,3,2
156559.6482,92800.70631000001,3608.84,0.25,0.8290000000000001,0.9690000000000001,BTK,BN,3,4
156559.5517,92800.67525,3598.04,0.381,1.088,0.037000000000000005,BTK,BN,3,4
156559.4551,92800.6442,3587.24,0.547,0.98,0.195,BTK,BN,3,4
156559.3585,92800.61314,3576.44,0.345,0.639,0.08900000000000001,BTK,BN,3,4
156559.1653,92800.55102,3565.64,0.48,1.1320000000000001,0.045,BTK,BN,3,4
156558.9721,92800.4889,3544.05,0.536,0.7959999999999999,0.028999999999999998,BTK,BN,3,4
156558.7789,92800.42679,3529.65,0.222,1.396,0.09300000000000001,BTK,BN,3,4
156558.6823,92800.39572999999,3518.85,0.244,1.111,0.027000000000000003,BTK,BN,3,4
156558.5857,92800.36467000001,3508.05,0.114,0.5870000000000001,0.032,BTK,BN,3,4
156558.4891,92800.33361,3497.25,0.25,1.3230000000000002,0.028999999999999998,BTK,BN,3,4
156558.6514,92799.14344,3482.85,0.10300000000000001,1.294,0.161,BTK,BN,3,4
